
                                      CodeAnalysis - Version 1.4
    ==============================================================================================
     Fri May  5 23:03:43 2017
     Path: "C:\Users\Joy Shalom\Desktop\Actual JF Project 2\RemoteCodePublisher_Spring2017P4_699737418 - Using WPF"
     Args: *.h, *.cpp, /m, /r, /f
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
           HttpMessage.cpp    function                            addBody     143       3       1
           HttpMessage.cpp    function                            addBody     149       5       1
           HttpMessage.cpp    function                            addBody     157       4       1
           HttpMessage.cpp    function                               body     165       3       1
           HttpMessage.cpp    function                         bodyLength     171       3       1
           HttpMessage.cpp    function                       attribString     177       3       1
           HttpMessage.cpp    function                          attribute     183       3       1
           HttpMessage.cpp    function                       headerString     189       9       2
           HttpMessage.cpp    function             toIndentedHeaderString     201       9       2
           HttpMessage.cpp    function                         bodyString     213       6       1
           HttpMessage.cpp    function               toIndentedBodyString     222       6       1
           HttpMessage.cpp    function                           toString     231       3       1
           HttpMessage.cpp    function                   toIndentedString     237       3       1
           HttpMessage.cpp    function                              clear     243       4       1
           HttpMessage.cpp    function                         fillBuffer     250       4       1
           HttpMessage.cpp       class                         MockSocket      20      11       8
           HttpMessage.cpp    function                         MockSocket      21       1       1
           HttpMessage.cpp    function                  setContent_length      24       2       1
           HttpMessage.cpp    function                         recvString      33       9       2
           HttpMessage.cpp    function                               recv      44      12       3
           HttpMessage.cpp    function                               main     260      67       4
           HttpMessage.cpp    function                            addBody     269       1       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                  Logger.h   namespace                            Logging      65      55      15
                  Logger.h       class                             Logger      67      24       2
                  Logger.h    function                             Logger      68       2       1
                  Logger.h       class                       StaticLogger      94      18      12
                  Logger.h    function                             attach      95       2       1
                  Logger.h    function                              start      96       2       1
                  Logger.h    function                            running      97       2       1
                  Logger.h    function                              pause      98       2       1
                  Logger.h    function                             paused      99       2       1
                  Logger.h    function                              flush     100       2       1
                  Logger.h    function                               stop     101       2       1
                  Logger.h    function                               wait     102       2       1
                  Logger.h    function                              write     103       2       1
                  Logger.h    function                              title     104       2       1
                  Logger.h    function                           instance     105       2       1
                  Logger.h   namespace                            Logging      65      55      15
                  Logger.h       class                             Logger      67      24       2
                  Logger.h    function                             Logger      68       2       1
                  Logger.h       class                       StaticLogger      94      18      12
                  Logger.h    function                             attach      95       2       1
                  Logger.h    function                              start      96       2       1
                  Logger.h    function                            running      97       2       1
                  Logger.h    function                              pause      98       2       1
                  Logger.h    function                             paused      99       2       1
                  Logger.h    function                              flush     100       2       1
                  Logger.h    function                               stop     101       2       1
                  Logger.h    function                               wait     102       2       1
                  Logger.h    function                              write     103       2       1
                  Logger.h    function                              title     104       2       1
                  Logger.h    function                           instance     105       2       1
                  Logger.h   namespace                            Logging      65      55      72
                  Logger.h       class                             Logger      67      24      59
                  Logger.h    function                             Logger      68       2       1
                  Logger.h       class                       StaticLogger      94      18      12
                  Logger.h    function                             attach      95       2       1
                  Logger.h    function                              start      96       2       1
                  Logger.h    function                            running      97       2       1
                  Logger.h    function                              pause      98       2       1
                  Logger.h    function                             paused      99       2       1
